no	trial	design	participant	group	session	date	name	opacity	rt	trial_order	repet	is.rep	orig	tot	abs	rel	cond
1	0	3	10	b	2	2022_Sep_08_1729	'bar_3_1'	1	1.37814998626709	1	2	0	38	40	95	95	sham
2	0	4	10	b	2	2022_Sep_08_1729	'bar_4_4'	1	1.73701810836792	2	3	0	37	40	92.5	92.5	sham
3	0	11	10	b	2	2022_Sep_08_1729	'bar_11_1'	1	6.52268099784851	0	4	0	36	40	90	90	sham
4	1	3	10	b	2	2022_Sep_08_1729	'bar_3_6'	1	0.663574934005737	1	2	0	38	40	95	95	sham
5	1	4	10	b	2	2022_Sep_08_1729	'bar_4_3'	1	0.691691875457764	2	3	1	37	40	92.5	92.5	sham
6	1	11	10	b	2	2022_Sep_08_1729	'bar_11_6'	1	0.530126094818115	0	4	0	36	40	90	90	sham
7	10	3	10	b	2	2022_Sep_08_1729	'bar_3_5','bar_3_2'	1	1.22487092018127	1	2	0	38	40	95	95	sham
8	10	4	10	b	2	2022_Sep_08_1729	'bar_4_3','bar_4_4'	1	1.4110221862793	2	3	0	37	40	92.5	92.5	sham
9	10	11	10	b	2	2022_Sep_08_1729	'bar_11_1','bar_11_6'	1	1.22495794296265	0	4	0	36	40	90	90	sham
10	11	3	10	b	2	2022_Sep_08_1729	'bar_3_6','bar_3_2'	1	1.83772802352905	1	2	0	38	40	95	95	sham
11	11	4	10	b	2	2022_Sep_08_1729	'bar_4_6','bar_4_8'	1	2.93064904212952	2	3	0	37	40	92.5	92.5	sham
12	11	11	10	b	2	2022_Sep_08_1729	'bar_11_2','bar_11_6'	1	1.17255091667175	0	4	0	36	40	90	90	sham
13	12	3	10	b	2	2022_Sep_08_1729	'bar_3_6','bar_3_5'	1	2.07792782783508	1	2	0	38	40	95	95	sham
14	12	4	10	b	2	2022_Sep_08_1729	'bar_4_1','bar_4_2','bar_4_8'	1	3.5185010433197	2	3	0	37	40	92.5	92.5	sham
15	12	11	10	b	2	2022_Sep_08_1729	'bar_11_2','bar_11_1'	1	1.51786589622498	0	4	0	36	40	90	90	sham
16	13	3	10	b	2	2022_Sep_08_1729	'bar_3_5','bar_3_1','bar_3_8'	1	3.65296697616577	1	2	0	38	40	95	95	sham
17	13	4	10	b	2	2022_Sep_08_1729	'bar_4_2','bar_4_8'	1	1.22469210624695	2	3	0	37	40	92.5	92.5	sham
18	13	11	10	b	2	2022_Sep_08_1729	'bar_11_6','bar_11_2','bar_11_1'	1	1.49248600006104	0	4	0	36	40	90	90	sham
19	14	3	10	b	2	2022_Sep_08_1729	'bar_3_5','bar_3_8'	1	2.50336408615112	1	2	0	38	40	95	95	sham
20	14	4	10	b	2	2022_Sep_08_1729	'bar_4_1','bar_4_8'	1	1.9443461894989	2	3	0	37	40	92.5	92.5	sham
21	14	11	10	b	2	2022_Sep_08_1729	'bar_11_4','bar_11_5'	1	3.03768396377563	0	4	0	36	40	90	90	sham
22	15	3	10	b	2	2022_Sep_08_1729	'bar_3_7','bar_3_8'	1	1.54460215568542	1	2	0	38	40	95	95	sham
23	15	4	10	b	2	2022_Sep_08_1729	'bar_4_5','bar_4_8'	1	1.75925993919373	2	3	0	37	40	92.5	92.5	sham
24	15	11	10	b	2	2022_Sep_08_1729	'bar_11_1'	1	1.17267203330994	0	4	1	36	40	90	90	sham
25	16	3	10	b	2	2022_Sep_08_1729	'bar_3_8','bar_3_4'	1	1.5710620880127	1	2	0	38	40	95	95	sham
26	16	4	10	b	2	2022_Sep_08_1729	'bar_4_7','bar_4_8'	1	1.25128817558289	2	3	0	37	40	92.5	92.5	sham
27	16	11	10	b	2	2022_Sep_08_1729	'bar_11_5','bar_11_1'	1	1.83781909942627	0	4	0	36	40	90	90	sham
28	17	3	10	b	2	2022_Sep_08_1729	'bar_3_7','bar_3_3'	1	2.85065793991089	1	2	0	38	40	95	95	sham
29	17	4	10	b	2	2022_Sep_08_1729	'bar_4_7','bar_4_2'	1	1.784343957901	2	3	0	37	40	92.5	92.5	sham
30	17	11	10	b	2	2022_Sep_08_1729	'bar_11_4','bar_11_1'	1	4.53004503250122	0	4	0	36	40	90	90	sham
31	18	3	10	b	2	2022_Sep_08_1729	'bar_3_3','bar_3_6'	1	2.15942597389221	1	2	0	38	40	95	95	sham
32	18	4	10	b	2	2022_Sep_08_1729	'bar_4_1','bar_4_5'	1	2.42465400695801	2	3	0	37	40	92.5	92.5	sham
33	18	11	10	b	2	2022_Sep_08_1729	'bar_11_5','bar_11_4','bar_11_1'	1	3.22380995750427	0	4	0	36	40	90	90	sham
34	19	3	10	b	2	2022_Sep_08_1729	'bar_3_2','bar_3_3'	1	1.51784086227417	1	2	0	38	40	95	95	sham
35	19	4	10	b	2	2022_Sep_08_1729	'bar_4_8','bar_4_1','bar_4_5'	1	2.58419585227966	2	3	0	37	40	92.5	92.5	sham
36	19	11	10	b	2	2022_Sep_08_1729	'bar_11_1','bar_11_5','bar_11_6'	1	4.66346311569214	0	4	0	36	40	90	90	sham
37	2	3	10	b	2	2022_Sep_08_1729	'bar_3_2'	1	0.611457109451294	1	2	0	38	40	95	95	sham
38	2	4	10	b	2	2022_Sep_08_1729	'bar_4_6'	1	0.824721097946167	2	3	0	37	40	92.5	92.5	sham
39	2	11	10	b	2	2022_Sep_08_1729	'bar_11_2'	1	0.611577987670898	0	4	0	36	40	90	90	sham
40	20	3	10	b	2	2022_Sep_08_1729	'bar_3_6','bar_3_7'	1	2.23780393600464	1	2	0	38	40	95	95	sham
41	20	4	10	b	2	2022_Sep_08_1729	'bar_4_2','bar_4_8','bar_4_7'	1	3.78522300720215	2	3	0	37	40	92.5	92.5	sham
42	20	11	10	b	2	2022_Sep_08_1729	'bar_11_2','bar_11_7'	1	1.38453388214111	0	4	0	36	40	90	90	sham
43	21	3	10	b	2	2022_Sep_08_1729	'bar_3_6','bar_3_5'	1	3.25070786476135	1	2	1	38	40	95	95	sham
44	21	4	10	b	2	2022_Sep_08_1729	'bar_4_1','bar_4_4'	1	3.03735303878784	2	3	0	37	40	92.5	92.5	sham
45	21	11	10	b	2	2022_Sep_08_1729	'bar_11_3','bar_11_7'	1	1.17120099067688	0	4	0	36	40	90	90	sham
46	22	3	10	b	2	2022_Sep_08_1729	'bar_3_6','bar_3_8'	1	1.33154892921448	1	2	0	38	40	95	95	sham
47	22	4	10	b	2	2022_Sep_08_1729	'bar_4_3','bar_4_2'	1	0.986644983291626	2	3	0	37	40	92.5	92.5	sham
48	22	11	10	b	2	2022_Sep_08_1729	'bar_11_3','bar_11_2'	1	1.1184709072113	0	4	0	36	40	90	90	sham
49	23	3	10	b	2	2022_Sep_08_1729	'bar_3_4','bar_3_8','bar_3_7'	1	2.79751706123352	1	2	0	38	40	95	95	sham
50	23	4	10	b	2	2022_Sep_08_1729	'bar_4_3'	1	1.25127577781677	2	3	0	37	40	92.5	92.5	sham
